Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
6.9,0.2,30.6,100.1
6.51,359.1,28.9,100.2
6.54,353.7,28.2,100.3
6.5,349.4,27.7,100.4
6.09,349.3,26.7,100.4
5.74,349.8,26,100.4
5.57,351.9,25.8,100.4
5.46,352.4,25.1,100.4
5.25,354.2,25.2,100.3
5.03,357.6,23.6,100.2
5.02,1,23.9,100.3
4.95,1.2,23.7,100.3
4.36,3.6,23.5,100.4
3.49,7.2,26.1,100.4
1.73,12.2,28.8,100.5
0.18,103.1,30.2,100.4
1.82,174,33.6,100.4
3.36,169.9,34.3,100.3
4.62,167.7,34.6,100.2
5.83,166.6,34.9,100.1
6.97,170,33.5,100
6.92,168.6,31.2,100
6.72,171.5,30.4,100
5.94,168.3,29.4,100
5.52,160.8,29.4,100.1
4.8,154.4,27.3,100.2
4.08,147.2,26.9,100.3
3.94,136.1,27.1,100.4
4.26,125.9,26.8,100.4
4.45,121,26.1,100.4
4.68,116.2,26.3,100.3
4.98,116.3,25.4,100.3
5.3,118.7,25.7,100.2
5.15,128.1,24.8,100.2
5.48,129.8,24.7,100.2
5.79,130.7,24.7,100.3
5.96,135.4,24.2,100.3
6.81,146.6,26.4,100.4
7.13,160.3,26.3,100.4
7.74,164.6,26.6,100.4
8.31,166.1,29.2,100.4
8.78,168.2,30.2,100.3
9.27,168.9,31,100.2
9.23,168.1,32.4,100.2
9.12,166.8,32.1,100.1
8.6,162.7,29.5,100.1
8.37,160.8,29.5,100
7.52,155.8,29.5,100.1
6.63,148.5,29,100.2
6.17,145,27.6,100.3
5.73,142.7,27.3,100.3
5.44,140.9,27.4,100.4
5.43,137.8,26.7,100.4
5.36,136.2,26.9,100.4
5.28,137.2,27.4,100.3
5.41,137.4,26,100.3
5.49,137.2,26.1,100.2
5.21,143.9,25.1,100.2
5.57,146.5,25.3,100.3
5.36,148,25.5,100.3
4.88,147.3,25,100.4
5.29,162.3,27.3,100.4
5.09,171.5,28.7,100.5
5.09,176.6,29.5,100.5
5.12,177,32.9,100.5
4.95,175,33.3,100.5
4.68,175.3,33.1,100.4
4.32,177.3,33.3,100.3
3.78,181.6,33.8,100.3
4.33,190.4,31,100.2
4.31,195.2,30.7,100.2
3.12,207.2,29.7,100.3
1.51,229.8,29.2,100.4
1.59,334.1,28,100.5
3.3,344.5,27.6,100.6
5.23,342.6,27,100.6
6.59,341.1,25.5,100.7
7.34,341.5,25.5,100.6
8.4,341.8,25.2,100.6
9.11,343.8,24.7,100.5
9.86,347.3,24.5,100.5
9.19,348.5,25,100.4
9.59,348.1,24.9,100.4
9.62,349.1,25,100.5
9.66,349,24.8,100.6
9.49,348.5,27.2,100.6
9.09,347.7,28.5,100.6
8.59,350.4,29.8,100.6
7.74,354,32.8,100.6
7.03,354.4,34.5,100.5
6.91,354,35.2,100.3
6.87,354.2,35.6,100.2
7,354.6,36,100.2
6.9,354.8,33.3,100.1
6.58,354.4,32.7,100.1
5.71,351.6,32.1,100.2
5.67,359.8,30.9,100.2
5.6,10.1,29.1,100.3
5.03,22.5,28.5,100.5
4.33,22.7,28.4,100.5
4.12,17.7,27.3,100.5
3.82,14.6,26.8,100.5
3.18,25.5,26.9,100.5
2.54,34.3,25.6,100.4
1.99,42.7,25.2,100.4
1.93,30.2,24.2,100.3
1.81,46.4,24.3,100.3
1.49,59.9,24.2,100.4
1.46,83.4,24.5,100.5
1.57,115.2,27.3,100.5
2.47,143.9,28.2,100.5
4.16,157.3,27.6,100.5
5.38,161.6,31.7,100.5
5.67,158.3,31.3,100.5
5.96,163.4,31.9,100.4
5.95,164.4,31,100.3
6.58,158.2,29.3,100.2
6.51,160,28.3,100.1
6.36,162,27.4,100.2
6.01,156,27.5,100.3
5.45,147.5,27.2,100.4
5.41,141.5,25.7,100.4
5.46,138,26,100.5
5.94,135.7,26,100.5
6.6,135,25.4,100.5
6.29,133.6,25.4,100.4
6.56,137.9,25.6,100.4
6.77,142.6,25,100.3
7.21,142.6,24.2,100.3
6.33,137.1,23.7,100.3
6.39,134.7,23.9,100.2
6.29,138.8,23.9,100.3
6.41,142.3,23.5,100.4
7.04,154.4,25.8,100.4
7.65,159.8,26.2,100.5
7.92,157.8,25.3,100.5
8.29,159.5,29.3,100.5
8.7,163.1,28.7,100.4
9.02,167.7,29.2,100.3
8.96,166.4,30.1,100.3
8.74,165.6,30.6,100.2
8.79,164.8,28.9,100.1
8.23,166.7,28.7,100.1
7.39,164.1,28.6,100.3
6.75,152.7,28.1,100.3
6.63,149.7,27.3,100.4
6.27,151,26.7,100.4
5.89,152.7,26.9,100.5
5.61,155,26.1,100.5
5.09,156.2,25.9,100.4
4.87,150.6,25.8,100.4
4.8,145.5,25.1,100.3
4.82,138.4,25.1,100.2
4.86,128.5,24.3,100.2
4.71,125.5,24.4,100.3
4.5,124,25.5,100.3
4.36,122.7,25.2,100.4
3.78,130,27.5,100.4
3.75,151.6,27.5,100.5
3.86,166.8,29.4,100.5
4.01,170.5,32,100.4
4.23,174.3,32.6,100.4
4.43,178.6,32.2,100.3
4.6,185.2,33.1,100.2
4.75,187.8,32.5,100.1
4.87,178.2,30,100
5.21,169.8,29.7,100.1
5.19,166.5,28.3,100.1
4.46,169.4,27.8,100.2
3.74,168.2,26.9,100.3
3.07,159.4,26.1,100.3
2.75,154.3,26,100.4
3.07,148.7,25,100.4
3.64,147.4,24.7,100.4
3.83,148.4,25.8,100.4
3.74,145.6,25.2,100.3
3.72,138.5,24.8,100.3
4.14,129.3,24,100.3
4.01,128.4,23.8,100.3
4.17,129.5,24.6,100.3
4.06,133.7,24.7,100.3
4.18,153.8,28.4,100.4
4.58,163.2,28.6,100.4
5.13,166.3,28.9,100.5
5.83,169.6,32.3,100.4
6.45,170.5,32.3,100.4
6.94,170.3,32.8,100.3
6.91,169.1,33.8,100.2
6.92,167.7,33.9,100.2
7.2,171.4,31.2,100.1
6.91,171.9,30.4,100.2
6.3,167.3,29.7,100.3
5.92,160.2,28.8,100.4
5.31,158.3,27.6,100.5
4.77,155.5,27.6,100.6
4.44,152.7,27.6,100.6
3.96,148.9,26.9,100.6
3.59,141.5,26.6,100.6
3.58,133.8,26.3,100.6
3.68,126.2,25,100.5
3.63,123.6,24.9,100.5
3.65,119.7,24.4,100.5
3.28,115.4,24.4,100.5
2.86,118.3,24,100.5
2.16,121.7,24.6,100.6
1.28,141.1,28.6,100.7
1.25,195.9,29.1,100.7
1.44,217.3,29.7,100.7
1.38,228.4,33.5,100.6
0.87,238.2,34,100.6
1.05,291,34.8,100.5
2.15,317.9,35.6,100.4
3.16,332.1,35.3,100.3
5.37,348.8,33.1,100.2
5.84,336.3,32.3,100.3
8.23,338.3,30.5,100.4
10.31,348.1,30.4,100.5
9.8,351.2,29.2,100.6
10.06,347.2,28.7,100.7
9.74,347.4,28,100.8
9.53,347.5,26.9,100.8
9.42,345.9,26.4,100.8
9.77,346.1,26.3,100.7
10.2,350.7,25.9,100.7
10.06,353.5,25.1,100.6
10.73,349.2,25.2,100.6
11.1,347.9,24.7,100.6
10.81,347.8,24.6,100.7
10.89,347.1,24.7,100.7
11.53,346.2,26,100.8
13.19,347.7,26.3,100.9
12.1,345.3,26.6,100.9
12.6,350.7,28.8,100.8
12.03,349.4,29.7,100.8
12.13,348.7,30.2,100.7
12.13,349.6,31.2,100.6
11.91,351.2,31.5,100.5
11.69,348.4,29.2,100.4
11.39,351,28.9,100.4
10.77,351,28.4,100.6
10.83,351.2,27.9,100.6
10.53,350.2,26.2,100.6
10.42,348.5,26.3,100.7
10.41,348.2,26.4,100.8
10.15,347.7,25.7,100.8
10.01,345.7,25.5,100.8
10.4,344.3,25.4,100.7
10.1,345.3,24.7,100.7
9.94,345.9,23.7,100.6
10.07,346.7,23.3,100.6
9.7,348.3,23.4,100.6
9.17,349.6,23.5,100.6
8.85,349.6,23.3,100.6
9.18,350.8,26.7,100.7
8.69,354.6,28.3,100.7
7.33,355.8,29.6,100.7
5.91,353.5,32.8,100.6
4.74,347.6,33.7,100.5
3.77,337.4,34.8,100.4
2.76,331.8,35.1,100.3
1.21,355.9,35.5,100.2
3.64,59.7,33.2,100.3
4.12,83.6,31.9,100.3
2.65,117.9,30.9,100.4
3.13,145.8,29.6,100.4
3.32,179.2,27.9,100.5
3.15,179.4,26.7,100.5
2.98,167.9,25.5,100.6
3.14,144,24.4,100.6
3.58,125.5,24.7,100.6
3.88,119.9,24.8,100.5
4.13,120.6,24.4,100.5
4.16,120.8,24.6,100.4
4.58,122.5,24.1,100.4
4.67,127.6,24.2,100.4
4.77,129.3,24.9,100.4
4.63,129.9,25.1,100.4
5.34,149.6,28.5,100.5
6.16,162.8,29.1,100.5
6.89,169.2,28.9,100.5
7.44,172.9,32.5,100.5
7.77,172.4,32.7,100.4
8.07,171.4,32.6,100.3
8.23,170.1,33.3,100.2
8.24,170.3,33.5,100.2
7.84,168.3,31.7,100.1
7.61,167.3,31.4,100.1
7.23,159.4,30.6,100.1
7.02,150.8,29.9,100.2
6.89,145.9,28.5,100.3
6.75,145,28.2,100.4
6.71,147.2,28.5,100.4
6.86,151.8,28.1,100.5
6.63,154.1,28,100.4
6.34,155.3,28.3,100.4
6.49,154.4,27.2,100.3
6.49,153.7,26.9,100.2
6.51,151.3,25.5,100.2
6.38,148.6,25.6,100.3
6.49,146.2,25.5,100.3
6.61,147,25,100.4
7.43,159.2,27.6,100.4
7.65,167.7,28.4,100.5
7.99,169.2,29.1,100.4
8.46,169,32,100.4
9.24,169,31.4,100.4
9.5,170.6,31.5,100.3
9.42,173.4,32.5,100.2
9.21,175.7,32.2,100.2
8.57,169.5,30.5,100.1
7.79,169.1,29.9,100.1
6.88,161.8,29.5,100.2
5.78,150.3,28.9,100.3
4.74,148.4,27.8,100.4
3.58,137.5,27.7,100.6
2,92.9,27.5,100.6
2.39,356.7,26,100.7
5.1,340.4,24.6,100.7
8.28,335.3,24.4,100.7
11.04,339.7,22.6,100.7
12.56,342.2,22.3,100.7
13.85,344.7,22.3,100.7
13.61,345.3,22.2,100.7
14.31,346.1,22.2,100.8
14.48,346.9,22.9,100.9
15.42,348.7,24.4,101
16.24,351.6,25.4,101
16.81,355.7,26.9,101
16.84,356.7,28.7,101
16.65,357.2,29.3,101
16.6,357.5,29.9,100.9
16.52,357.9,30.1,100.9
16.13,358.3,29.2,100.8
16.37,0.1,27.6,100.8
16.32,0.3,27.3,100.8
15.33,359.4,26.7,100.9
15.31,0.5,26.4,100.9
14.91,359.5,24.3,101.1
14.6,357.3,24.4,101.2
14.41,356.1,24.3,101.2
14.08,354,23.7,101.2
13.58,352.3,23.2,101.2
13.33,350.8,23.4,101.1
12.88,349.5,22.8,101
13.01,348,22.3,101
13.2,349.3,21.1,101
13.25,348.8,20.9,101
13.39,348.8,20.8,101
13.1,348.2,20.5,101
13.55,348.8,23,101.1
14.18,352.8,23.8,101.1
13.96,356,24.4,101.1
13.39,356.6,28.3,101.1
13.33,357.8,28.9,101
13.23,357.3,29.4,100.9
13.32,357.8,30.1,100.8
13.46,358.7,29.8,100.8
13.18,358.4,27.6,100.7
13.16,357.7,27,100.7
12.48,355.8,26.9,100.7
12.86,357.1,26.7,100.8
12.76,357.1,24.9,100.9
12.71,356.1,24.6,100.9
12.44,355.8,24.4,101
12.16,355.9,24,101
11.72,356.9,23.7,101
11.39,356.8,23.8,100.9
11.16,356,23.2,100.8
10.95,355.2,22.9,100.7
10.78,354.4,21.6,100.7
10.9,352.8,21.7,100.7
10.89,351.8,21.8,100.7
10.61,350.3,20.9,100.8
10.06,350,23.8,100.8
10.25,350.6,24.9,100.8
10.03,351.8,26.1,100.8
9.35,353,30.1,100.7
8.67,352.8,31.1,100.7
8.38,353,31.7,100.5
8.26,353.7,32.7,100.4
8.05,353.5,32.9,100.3
8.17,352.6,31.3,100.2
8.05,350.1,31.2,100.3
8.32,345.8,30.5,100.3
8.57,347.5,29.6,100.3
8.15,350,26.6,100.4
7.67,350.8,26.3,100.5
7.22,351.2,25.8,100.5
6.83,351.3,24.4,100.6
6.28,353.7,24.1,100.6
5.74,356.3,24.2,100.6
5.2,357.1,22.5,100.5
4.8,357.9,22.4,100.4
4.26,356.9,20.9,100.4
3.94,352.8,20.6,100.4
3.42,353.9,20.3,100.5
2.92,357,21.6,100.5
1.62,2.1,26.4,100.5
0.53,68.7,28.7,100.5
1.72,162.6,30,100.5
2.8,181.5,33.8,100.4
3.9,184.2,34.8,100.4
4.89,183.2,34.8,100.4
5.65,182.4,35.1,100.3
5.73,184.6,34.7,100.3
5.21,185.5,32.7,100.2
4.5,186.4,32.5,100.3
3.24,181.2,31.6,100.3
2.21,164.4,30.4,100.4
1.44,139.7,27.2,100.4
0.95,102.1,26.6,100.5
0.62,55.8,26.3,100.5
0.63,11.7,24.7,100.5
1.32,328.6,24.2,100.5
2.34,331.7,24.2,100.5
3.38,338.5,23.1,100.4
4.62,342.5,23.5,100.4
6.27,349.7,23.2,100.4
7.25,348.5,23.5,100.5
8,345.9,23.4,100.5
8.83,345.5,24.9,100.6
9.4,348.2,28.2,100.6
9.97,350.7,29.7,100.7
10.62,352,30.8,100.7
10.74,354.2,33.6,100.6
10.66,355.2,34.2,100.6
10.78,356.3,34,100.5
11.15,356.4,34.4,100.5
11.36,355.3,34.6,100.4
11.95,356.8,31.1,100.3
11.63,354.4,31.1,100.3
11.73,352.9,29.6,100.4
12.07,350.9,28.7,100.4
12.13,351.4,27.5,100.5
12.51,352.5,27.8,100.6
12.76,352.5,27.8,100.6
12.63,349.8,26.7,100.7
12.36,350,26.2,100.7
11.86,350.6,26.1,100.7
11.58,349.6,25.2,100.6
11.67,347.9,25.5,100.6
11.47,347.9,25.2,100.5
11.42,348.3,25,100.6
11.43,346.9,24.8,100.6
10.72,344,24.5,100.7
11.6,343.8,26.3,100.7
11.77,344.9,26.9,100.7
11.76,348.3,27.8,100.7
11.52,350.3,31.3,100.7
11.52,352.6,31.8,100.6
11.72,351.1,32.4,100.5
12.18,350.4,32.4,100.5
11.73,353,32.8,100.4
11.02,352.7,30.9,100.3
11.12,353.9,30.4,100.3
10.68,353,29.6,100.4
10.78,353,29,100.4
10.68,353.8,26.8,100.5
10.42,352.2,26.9,100.5
10.22,349.9,27.3,100.6
10.01,348.5,26.4,100.6
9.58,348.1,26.4,100.6
9.13,348.5,25.9,100.5
8.9,348.4,25.4,100.5
8.7,348.8,25.6,100.4
8.56,347,24.4,100.4
8.05,349.4,24.7,100.4
7.85,350.1,24.4,100.4
7.72,350.9,24.4,100.4
7.66,354.9,28.1,100.5
6.4,355.3,30,100.5
4.76,353.7,31.1,100.5
3.38,348.2,34.8,100.4
2.06,338.7,35.8,100.3
0.93,331.3,36.7,100.2
0.45,207.6,37.8,100.1
1.67,178.2,38,100
3.51,178.8,35.7,100
4.93,188.8,34.1,100
4.42,188.5,32.9,100.1
3.78,186.3,31.1,100.1
2.63,172.3,29,100.2
2.07,148.7,28.7,100.3
1.86,125.2,28,100.4
1.92,119.5,26.2,100.4
2.01,117.9,25.8,100.4
2.2,115.9,25.7,100.4
2.28,114.8,24.7,100.3
2.48,123.3,25.2,100.3
2.15,130.4,24.6,100.3
2.09,135.2,24.7,100.4
1.94,134.4,24.5,100.4
2.29,131.3,25.7,100.4
2.31,139.8,30,100.5
2.86,152.2,30.7,100.5
3.15,164.9,31.3,100.5
3.5,177.1,34.9,100.4
4.05,180.7,35.5,100.4
4.58,183.7,35.7,100.3
4.9,186.8,35.9,100.2
5.18,191.5,35.4,100.1
5.11,187.9,34,100.1
4.62,191.1,32.6,100.1
4,190.8,30.5,100.2
3.4,190.8,29.9,100.2
1.73,187.5,28.2,100.3
0.35,272.3,27.4,100.4
2.53,331.8,27.5,100.5
5.11,340,27.4,100.5
6.54,343.2,27.6,100.5
7.32,342.2,27.5,100.4
8.03,344.4,26.7,100.4
8.25,348.2,26.1,100.3
8.35,351.1,25.5,100.3
8.38,352.7,25.5,100.4
8.24,353.8,25.6,100.4
8.24,354.1,25.9,100.5
7.95,351.2,29.1,100.6
8.15,351.1,30.5,100.6
7.75,352.7,31.6,100.6
7.22,354.9,35.2,100.5
6.62,354.1,36.3,100.4
6.18,351.8,37,100.3
6.21,352.8,37.9,100.2
6.33,357.5,37.4,100.1
6.71,350.1,34.8,100.1
7.8,349.3,34.1,100.1
7.84,351.8,33.3,100.2
7.79,355,32.5,100.2
8.06,354.3,30.7,100.3
7.65,358.5,30.4,100.4
7.04,0.5,30.3,100.5
7.26,354.6,29.4,100.5
7.56,349.9,28.7,100.4
7.77,348.3,28.2,100.4
7.89,349.3,27.1,100.4
7.57,353.5,27.2,100.4
7.18,355.5,26.2,100.4
7.37,352.5,26.3,100.4
7.37,351.4,26.3,100.6
7.25,350.8,26.3,100.6
7.41,355.6,29.9,100.6
6.85,357.5,31.5,100.6
6.34,358.2,32.8,100.6
5.99,354.8,35.6,100.5
5.88,352.5,37.3,100.4
5.69,355.4,37.4,100.4
5.51,357.1,37.1,100.3
5.45,0.8,36.6,100.2
5.2,358.4,32.8,100.1
5.76,357.8,33.8,100.1
6.33,356.8,32.7,100.2
6.98,351.9,32.1,100.3
7.49,356.3,30.7,100.4
7.2,357.9,30.5,100.5
7.16,352.9,30.4,100.5
6.82,353.6,29.4,100.6
6.59,352.1,29,100.6
6.47,349.1,28.6,100.6
5.85,352.9,27.5,100.5
5.84,353.3,27.2,100.5
5.85,350.3,27.5,100.5
6.47,356,27.4,100.5
7.11,356.2,27.5,100.5
7.11,351.8,27.2,100.6
7.68,352.8,30.1,100.6
7.57,353.2,31.8,100.6
7.02,357.5,32.7,100.6
6.19,357.4,36.2,100.5
5.58,356.6,36.7,100.4
4.97,355.8,37.5,100.2
4.32,356.6,38,100.1
3.56,359.5,38.2,100
4.53,345.6,35.2,100.1
4.23,342.8,34.4,100.1
4.17,6.8,33.4,100.1
3.07,11.2,31.9,100.2
2.87,10,30.1,100.3
2.45,17.3,29.8,100.4
2.19,30.6,29.6,100.5
2.79,70.8,28.6,100.5
2.58,75.5,28.1,100.4
2.74,68.2,27.9,100.4
2.59,40.8,26.8,100.3
2.39,20.9,27.1,100.3
1.55,60,25.9,100.3
1.58,114.4,26.1,100.3
0.83,90.9,26,100.4
1.33,30.5,26,100.5
1.48,13.3,28.4,100.6
1.89,355.3,29.5,100.6
1.64,353.9,30.9,100.6
1.2,344.9,34,100.5
0.77,1.6,34.9,100.4
0.58,152,35.6,100.3
1.2,186.1,34.6,100.2
1.56,212,31.5,100.1
2.07,304.5,30.4,100.3
1.16,282.8,27.9,100.3
1.62,300.8,27.8,100.3
2.2,299.1,28.1,100.3
2.92,321.1,27.2,100.4
3.91,318.2,27.1,100.4
4.43,331.6,27,100.5
4.7,344.1,26.8,100.5
5.04,348.8,26.4,100.4
5.05,352.9,26.1,100.4
4.72,352.1,25.6,100.3
4.79,348.3,25.4,100.3
4.86,353.8,25,100.2
4.27,344.7,24.8,100.3
4.58,339.9,24.6,100.4
4.12,343.8,25.3,100.4
3.36,349.3,28.3,100.5
2.64,349.9,29.6,100.5
1.65,347,31.1,100.5
1.06,332.3,35,100.5
0.9,325,35.8,100.4
1.24,332.2,36.2,100.2
1.46,352.1,37.3,100.1
2.21,344,37.6,100
2.5,6.6,35.6,100
2.61,356.1,34.4,100.1
2.97,16.1,32.7,100.2
3.19,16.5,31.9,100.3
5.55,351.2,29.7,100.3
6.82,349,28.6,100.4
7.36,349.1,28.1,100.5
7.55,347.8,27.2,100.5
7.89,348.5,27,100.5
8.16,350.6,26.5,100.4
7.93,352.6,25.9,100.4
7.3,354.4,25.5,100.4
6.94,359.3,24.9,100.4
6.78,355.5,24.9,100.4
6.82,354,25,100.4
5.63,352.9,25.6,100.5
5.54,351.8,28.9,100.5
5.72,350.6,30.7,100.5
5.76,352.2,31.8,100.5
5.93,352.1,35.3,100.5
6.3,353,35.9,100.4
6.94,352.3,36.4,100.3
7.94,350.6,36.9,100.2
8.79,352.6,36.6,100.1
8.63,356.7,34.3,100.1
8.19,358.9,33.3,100.1
7.66,353.1,32.3,100.2
8.07,351,31.5,100.3
7.95,352,29.7,100.4
7.99,352.8,28.6,100.4
7.48,354.7,28.3,100.6
7.42,351.2,27.5,100.6
7.35,349.8,27.1,100.6
7.27,349.3,26.8,100.6
6.99,349.4,26.1,100.5
7.04,349.5,25.8,100.5
6.76,352.5,25.2,100.5
6.81,353,25.2,100.5
6.98,350.6,25,100.6
6.69,348.4,24.8,100.6
6.89,348.1,28.5,100.7
7.04,349.7,29.6,100.7
6.74,353.3,30.7,100.7
6.33,355.4,34.8,100.6
5.87,352.9,35.6,100.5
5.62,349.4,36.5,100.4
5.89,347.6,36.9,100.3
6.43,351.2,36.9,100.2
6.53,359.4,34.2,100.2
6.58,353,33.3,100.3
6.93,344.2,32.7,100.3
7.58,347.9,31.4,100.3
7.53,350.9,30,100.4
7.42,352.9,29.9,100.5
6.95,356.5,29.7,100.6
6.88,355.2,28.8,100.6
7.13,350.9,28.2,100.6
7.47,349.9,27.8,100.6
7.58,349.3,26.4,100.6
7.61,349.6,26,100.5
7.44,351.4,25.6,100.5
7.7,353.1,25.7,100.5
7.71,354.1,25.9,100.6
7.2,350.2,25.9,100.6
6.94,351.8,29.3,100.7
6.66,353.7,30.8,100.7
5.93,355.1,31.9,100.7
5.14,356,35.1,100.6
4.64,354.5,36.3,100.5
4.17,351.3,36.2,100.4
3.68,343.4,36,100.3
2.67,351.5,36.4,100.2
2.4,5.7,35.5,100.2
1.55,0.6,33.7,100.2
1.73,3.7,32.8,100.3
1.66,346.5,32.2,100.3
1.87,354.5,31.1,100.4
2.3,355.9,30.9,100.5
2.78,358.5,29.8,100.6
3.51,358.8,29.5,100.6
3.51,0.5,28.6,100.6
3.35,5.3,28.7,100.5
3.08,2.1,27.9,100.5
2.72,14.1,26.5,100.4
2.93,31.6,26.3,100.4
2.49,45,25.8,100.4
1.63,29.2,25.7,100.5
1.02,13.2,26,100.5
0.81,25.5,29,100.6
0.79,19,31.2,100.5
0.21,38.6,32.6,100.5
1.45,167.7,36.3,100.4
2.92,166.3,36.8,100.4
4.06,168,36.1,100.4
4.84,184.2,35.2,100.3
4.25,164.7,33.5,100.3
3.72,156.8,32.6,100.2
2.84,172.2,32,100.3
3.28,169.3,31.6,100.3
3.62,174.1,31.3,100.4
3.12,167.6,29.5,100.5
2.31,172.1,29.4,100.6
1.74,172.9,29.6,100.6
1.52,138.4,28.6,100.6
1.19,101.2,27.8,100.6
1.11,64.6,27.2,100.6
0.75,14.5,26.7,100.5
1.13,12.2,26.8,100.5
2,19.7,25.7,100.5
1.94,12.1,25.9,100.5
2.14,9.3,25.9,100.5
2.16,5.3,26.3,100.5
2,356.2,29.6,100.6
2.04,344.9,32.9,100.6
2.01,339.6,33.8,100.5
1.84,339.2,37,100.5
1.84,343,37.8,100.4
1.95,352.6,38.8,100.3
1.9,356.3,38.8,100.2
1.43,336.3,36.2,100.2
2.2,6.3,35.3,100.1
1.84,357.2,30.4,100.2
0.75,26.2,30.2,100.2
1.57,150,30.4,100.3
2.28,150.6,29.5,100.4
3.94,119.2,27.8,100.5
2.89,99,26.9,100.6
3.56,90.7,25.6,100.6
2.74,65.2,25.7,100.6
2.09,23.7,26.4,100.5
2.95,357.2,26.1,100.4
3.87,348.3,26.1,100.3
5.09,347.4,26.2,100.3
5.65,346.5,26.3,100.4
6.01,345.4,26.2,100.4
6.6,348.5,26.3,100.4
6.39,352.6,28.8,100.5
5.84,358.3,30.7,100.5
5.1,357.7,31.7,100.5
4.4,1.5,34.9,100.4
3.73,3.3,35.3,100.4
2.9,3.1,36.4,100.3
2.55,356.3,36.9,100.2
1.85,356.8,37.5,100.2
1.77,359.2,34.6,100.1
1.19,51.1,32.2,100.2
0.87,157.4,33.2,100.2
1.05,168.1,32.4,100.3
0.83,148.2,30.2,100.4
1.24,96.8,29.7,100.4
2.32,90.8,30,100.5
2.42,80.2,28.9,100.5
3.12,58,28.2,100.5
2.8,48.4,27.9,100.5
2.38,12.7,27.2,100.4
3.75,349.9,27.1,100.3
4.39,356.2,26.8,100.3
4.99,357.8,26.4,100.4
5.32,359.1,26.3,100.4
5.45,356.6,26.2,100.4
5.99,354.7,29.4,100.5
6.02,357.1,31.1,100.5
5.75,358.1,32,100.4
5.65,358.7,35.7,100.3
5.56,355.9,36.2,100.2
5.59,357.7,36.3,100.2
5.41,357.6,37.9,100.1
5.49,355.4,38.3,100
5.72,358.9,36.4,99.9
6.42,355.7,35.5,99.9
6.26,352.6,34.5,100
6.17,353.8,33.2,100
6.27,358.8,31.2,100.1
6.34,1,30.8,100.2
6.2,359.1,30.4,100.3
6.58,352.6,29.3,100.3
7.01,348.8,28.6,100.3
7.37,348.6,28.3,100.3
7.48,350.3,28,100.3
7.89,350.9,27.5,100.3
8.46,349.5,27.4,100.2
8.18,350.6,27.1,100.3
8.01,351.2,26.6,100.4
7.34,348.1,26.7,100.5
7.28,350.1,29.5,100.5
7.27,350.4,30.2,100.5
7.57,351.4,31.1,100.5
7.99,352.2,34.6,100.5
8.52,351.2,35.2,100.4
9.42,350.8,35.3,100.3
10.27,352.6,35.1,100.2
10.76,354.6,35,100.1
11.46,354.3,33.5,100.2
11.28,354.3,33.2,100.2
9.81,351.8,33.1,100.2
9.21,353,32.7,100.3
9.15,355.3,30.5,100.4
9.57,355.6,29.9,100.5
10.01,352.9,29.3,100.5
10.18,351.3,27.7,100.6
10.06,351.7,27.7,100.6
10.16,354.8,27.2,100.6
9.78,353.5,26.4,100.6
9.86,351.4,25.9,100.5
9.64,349.6,25.8,100.6
9.5,349.8,25.9,100.6
10.19,348.6,25.9,100.7
10.12,349.8,25.5,100.8
9.88,350.6,26.3,100.8
10.41,349.7,25.7,100.8
10.93,351.8,26.8,100.9
10.55,353.5,29.4,100.8
10.23,358.1,29.5,100.7
9.46,359.3,30.8,100.7
9.58,359.7,31.5,100.6
10.39,0.2,30.2,100.5
10.85,2.5,30.4,100.5
10.45,3.9,29.8,100.5
9.09,3.4,29.5,100.5
9.23,2.4,28.7,100.6
9.35,2.5,27.4,100.6
9.58,2.6,27.7,100.7
9.65,0.2,27.7,100.7
9.67,356.2,27.1,100.8
9.7,352.5,26.3,100.7
9.93,350.1,25.9,100.7
9.98,351.1,24.8,100.7
9.99,351.3,24.5,100.7
10.36,351.6,23.3,100.7
10.31,352.9,23.5,100.8
9.94,354.2,23.5,100.8
8.84,353.2,23.5,100.9
9.42,354.7,26.5,100.9
9.66,354.7,27.8,100.9
9.96,357.2,28.7,100.9
10.21,0.4,32.4,100.8
10.35,1,32.8,100.8
10.58,359.7,33.7,100.7
10.8,358.2,34.6,100.6
11.05,357.4,34.2,100.6
10.76,358,31.3,100.5
10.07,357.7,30.2,100.5
9.46,357.5,29.3,100.6
9.13,355.7,28.9,100.7
9.02,356.4,27,100.7
9,355.2,27.1,100.8
8.9,354.9,27,100.8
8.79,354.4,26.3,100.8
8.62,352.1,25.8,100.8
8.81,350.5,25.7,100.7
8.93,351.2,24.8,100.7
8.61,352.1,24.6,100.6
8.53,350.7,23.6,100.6
8.72,352.1,23.8,100.7
8.73,353.1,23.8,100.8
8.36,351.3,23.7,100.8
8.53,353.7,27.4,100.9
8.85,357,29.2,100.8
8.69,358.9,30.1,100.8
8.81,358.4,33.6,100.7
8.9,357.4,34.3,100.7
9.01,358,34.5,100.6
8.93,355.4,34.4,100.5
9.14,353.6,34.2,100.4
9.4,354.7,31.5,100.4
8.89,355.6,31.1,100.4
7.9,352.4,30.3,100.5
7.3,350.8,29.6,100.6
7.07,349.8,27.9,100.6
7.22,348.5,27.4,100.7
6.96,350.1,27,100.7
6.84,351.1,26.2,100.7
7.04,347.6,26.2,100.7
