Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
11.69,359.9,29.1,100.5
10.7,358.9,27,100.5
9.93,357.7,26.6,100.5
9.7,354.9,26.3,100.6
9.77,355,25.1,100.6
9.83,356.5,24.4,100.6
9.69,356.7,22.2,100.7
9.66,356.4,21.8,100.7
9.59,355.6,21.1,100.7
9.33,354,19.8,100.7
9.02,353.1,19.9,100.6
8.72,352.4,18.1,100.6
8.49,352.2,18.2,100.6
8.02,351.1,16.6,100.6
7.97,352.2,16.6,100.6
7.93,352.7,16.4,100.6
7.64,353,16,100.6
7.37,353.2,18,100.7
5.77,350.9,21.9,100.7
5.11,348.8,24.6,100.7
4.43,347.2,29.3,100.7
3.37,346,31.1,100.6
1.81,338.5,31.9,100.4
0.52,281.5,33.3,100.3
1.17,196.8,33.7,100.2
2.31,184,31.4,100.2
3.84,183.1,30.5,100.2
4.68,182.3,28.1,100.3
4.49,181,27,100.3
4.23,178,24.5,100.4
4.4,169.8,23.3,100.4
4.76,160.3,23.3,100.5
5.06,151.8,21.3,100.4
5.43,145.2,21.1,100.4
5.85,139.3,21.4,100.4
6.35,135.9,21.6,100.4
6.8,131.9,20.7,100.3
7.11,127.3,19,100.3
7.24,122.6,19.1,100.3
7.38,126.1,18.9,100.3
7.42,128.3,18.7,100.4
7.48,130.2,20.9,100.4
7.5,136.7,21.5,100.5
9.02,149,22,100.6
8.77,152.3,26.5,100.5
9.53,158.1,27.3,100.5
9.35,160.5,27.6,100.4
8.92,158.8,28.9,100.3
8.88,159.2,28.7,100.3
7.8,150.3,26.4,100.2
6.9,145.8,26.3,100.3
6.55,141.4,26.5,100.3
6.25,135.2,26.4,100.4
5.78,133.4,25.4,100.5
5.33,133.1,25.5,100.6
4.87,131.5,25.5,100.6
4.41,129.5,24.6,100.6
3.98,125.3,24.7,100.6
3.32,117.4,25.1,100.6
2.19,88.7,24.5,100.7
1.56,29.9,24.4,100.7
3.55,344.7,23.4,100.7
8.27,340.7,23,100.8
10.54,347,23.1,100.8
11.91,347.9,22.5,100.8
12.8,346.4,23.4,100.9
12.7,347.2,23.5,101
14.88,350.8,24.5,101
16.73,353.5,26.2,101
17.1,353.8,26.6,100.9
17.31,355.2,26.7,100.8
17,357.3,26.6,100.7
16.49,358.8,26.2,100.7
15.66,0.1,24.3,100.7
14.67,0.5,23.6,100.8
14.75,358.5,23,100.9
15.02,358.4,22.9,100.9
14.98,357.5,22,101
14.72,356.6,21.3,101.1
14.33,355,21,101.1
13.9,353.3,20,101.2
13.73,351.6,20,101.1
13.69,350.5,20.1,101.1
13.82,349.5,19.5,101
13.81,349.3,19.4,101
13.1,346.9,16.8,101.1
13.74,349.2,16.8,101.1
13.56,350.2,17.5,101.1
13.69,350.9,17.7,101.1
13.13,347.8,18.8,101.2
13.94,349.7,19.1,101.3
14.96,353.8,20.6,101.4
15.23,354.5,22.9,101.4
15.61,355.7,22.9,101.3
15.99,356.6,22.9,101.3
17.12,358.6,23,101.2
16.77,358.7,23.4,101.2
16.61,358.5,20.7,101.2
15.48,357.5,20.4,101.2
16.35,356.7,20,101.3
16.35,356.6,20.6,101.4
16.25,355.9,20.4,101.5
16.03,355.2,20.1,101.6
15.83,355.4,19.8,101.6
15.55,354.8,19.7,101.6
15.43,354.3,19.8,101.6
15.34,353.3,19.9,101.5
15.32,352.8,19,101.5
15.26,352.4,18.9,101.4
15.38,352,18.2,101.4
15.13,353.5,18.1,101.4
15.19,353.4,18,101.4
15.23,352.3,18,101.5
14.29,348,19.1,101.5
15.31,348.3,20,101.6
16.55,353.4,21.1,101.5
16.94,356.4,23.6,101.5
16.84,357.5,23.7,101.4
16.79,358.2,24,101.3
16.68,358.5,24.6,101.2
16.78,358.4,24.6,101.1
16.43,358.8,21.8,101.2
15.71,358.6,21.6,101.1
15.09,357.9,21,101.2
14.92,359.2,20.8,101.2
14.8,359.4,20.2,101.3
14.54,358,20.5,101.4
14.42,355.9,20.5,101.4
14.26,354.6,20,101.4
13.96,353.4,19.9,101.3
13.9,353,19.8,101.3
13.89,352.6,19.3,101.2
13.89,352,19.1,101.2
13.68,351.5,17.4,101.2
13.94,351.4,17.5,101.1
14.04,351.2,18.2,101.2
14.13,350.8,18.1,101.2
13.3,346.8,19.4,101.2
